Loc,LNAME,Place,Open,Closed,KSI,CmtyNum,Cmty,SVC,FONUM,FOSHORT,Month
1127,ROAD HOUSE,Floor,9/1/2015,8/8/8888,340,24,,Marine Corps,22,ZAMA 5 Japan ZA05 J0 Dave ROAD HOUSE 80% Camp Zama ZAM,October 2023
1137,IWAKUNI CLUB,Floor,2/1/1998,8/8/8888,270,27,,Marine Corps,27,IWAKUNI 5 Japan IW01 J0 Dave IWAKUNI CLUB 80% USMC Iwakuni IWK,October 2023
1669,THE VAULT CLUB AND CASINO,Floor,7/2/2010,8/8/8888,130,13,,Army,47,WIESBADEN 2 Europe WB03 E0 Dave THE VAULT 20% Wiesbaden WIE,October 2023
1858,LANGENBRUCK CENTER,Floor,12/1/2007,8/8/8888,120,12,,Army,46,VILSECK 2 Europe VK04 E0 Dave LANGENBRUCK 20% Bavaria VIL,October 2023
1881,LIBERTY GAMES,Floor,3/26/2013,8/8/8888,130,13,,Army,47,WIESBADEN 2 Europe WB02 E0 (KASTEL KLUB) Dave LIBERTY GAMES 20% Wiesbaden WIE,October 2023
1940,CASEY LODGE,Floor,2/1/2018,8/8/8888,150,15,,Army,23,UIJEONGBU 4 Korea UJ02 K0 Dave CASEY LODGE 20% Camp Casey UIJ,October 2023
2238,PALMS,Floor,6/1/2001,8/8/8888,280,28,,Marine Corps,26,OKINAWA 5 Japan OK09 J0 Dave PALMS 80% USMC Okinawa OKI,October 2023
2317,WEST PAC LODGE,Floor,4/24/2002,8/8/8888,280,28,,Marine Corps,26,OKINAWA 5 Japan OK13 J0 Dave WEST PAC LODGE 80% USMC Okinawa OKI,October 2023
2394,BEACH HEAD,Floor,12/9/2002,8/8/8888,280,28,,Marine Corps,26,OKINAWA 5 Japan OK01 J0 Dave BEACH HEAD 80% USMC Okinawa OKI,October 2023
2489,EDELWEISS LODGE & RESORT,Floor,5/26/2004,8/8/8888,60,6,,Army,10,GARMISCH 2 Europe GA01 E0 Dave EDELWEISS 20% Edelweiss Lodge & Resort GAR,October 2023
