Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,17.0,1.0,,,18.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,,1.0,39.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,32.0,2.0,2.0,2.0,38.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,62.0,4.0,6.0,4.0,76.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,108.0,9.0,4.0,4.0,125.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,85.0,4.0,,1.0,90.0,October 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,October 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,October 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,72.0,3.0,6.0,3.0,84.0,October 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,138.0,7.0,9.0,7.0,161.0,October 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,310.0,15.0,21.0,11.0,357.0,October 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,October 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,84.0,3.0,5.0,2.0,94.0,October 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,102.0,5.0,,,107.0,October 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,October 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,135.0,6.0,7.0,3.0,151.0,October 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,163.0,10.0,12.0,6.0,191.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,17.0,1.0,,,18.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,,1.0,39.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,32.0,2.0,2.0,2.0,38.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,64.0,4.0,6.0,4.0,78.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,106.0,9.0,4.0,4.0,123.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,85.0,4.0,,1.0,90.0,November 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,November 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,November 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,72.0,3.0,6.0,3.0,84.0,November 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,138.0,7.0,9.0,7.0,161.0,November 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,310.0,15.0,21.0,11.0,357.0,November 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,November 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,84.0,3.0,5.0,2.0,94.0,November 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,103.0,5.0,,,108.0,November 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,November 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,138.0,5.0,6.0,3.0,152.0,November 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,163.0,10.0,12.0,6.0,191.0,December 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,December 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,17.0,1.0,,,18.0,December 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,32.0,2.0,,1.0,35.0,December 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,December 2023
