Date,Base_Location,Europe,Korea,Japan,YTD Europe,YTD Korea,YTD Japan
2023-03-31,Kaiserslautern,435381.00,.00,.00,1769195.35,.00,.00
2023-03-31,Grafenwoehr,148145.60,.00,.00,827100.45,.00,.00
2023-03-31,Wiesbaden,265851.45,.00,.00,1376947.40,.00,.00
2023-03-31,Vicenza,91264.15,.00,.00,485232.45,.00,.00
2023-03-31,Livorno,9019.10,.00,.00,73555.45,.00,.00
2023-03-31,Stuttgart,200290.70,.00,.00,1211060.55,.00,.00
2023-03-31,Baumholder,109101.65,.00,.00,336264.45,.00,.00
2023-03-31,Ansbach,85468.60,.00,.00,422486.30,.00,.00
2023-03-31,Brunssum,5826.20,.00,.00,59797.95,.00,.00
2023-03-31,AFRC Edelweiss Lodge,45863.15,.00,.00,107107.80,.00,.00
2023-03-31,Hohenfels,35674.70,.00,.00,199835.95,.00,.00
2023-03-31,Naples Navy,84218.45,.00,.00,619765.20,.00,.00
2023-03-31,Sigonella Navy,114353.25,.00,.00,390404.05,.00,.00
2023-03-31,Rota Navy,119117.35,.00,.00,480521.20,.00,.00
2023-03-31,Souda Bay Navy,8408.20,.00,.00,56128.95,.00,.00
2023-03-31,AFRC Dragon Hill Lodge,.00,244860.65,.00,.00,2402628.65,.00
2023-03-31,Seoul,.00,22619.65,.00,.00,98450.90,.00
2023-03-31,Casey & Hovey,.00,188646.35,.00,.00,1031024.40,.00
2023-03-31,Uijongbu,.00,.00,.00,.00,.00,.00
2023-03-31,Camp Humphreys,.00,1154714.25,.00,.00,6111283.60,.00
2023-03-31,Daegu,.00,216601.45,.00,.00,1229546.55,.00
2023-03-31,Chinhae Navy,.00,14360.20,.00,.00,166008.65,.00
2023-03-31,Camp Mujuk Marines,.00,.00,.00,.00,.00,.00
2023-03-31,Camp Zama,.00,.00,100506.80,.00,.00,592675.50
2023-03-31,Fuji Marines,.00,.00,-3177.50,.00,.00,9797.00
2023-03-31,Sanno Navy,.00,.00,45381.80,.00,.00,483047.00
2023-03-31,Atsugi Navy,.00,.00,207904.65,.00,.00,562572.70
2023-03-31,Okinawa,.00,.00,3576.80,.00,.00,44491.40
2023-03-31,Okinawa Marines,.00,.00,984854.05,.00,.00,5734765.70
2023-03-31,Okinawa Navy,.00,.00,40278.10,.00,.00,172245.00
2023-03-31,Iwakuni Marines,.00,.00,208263.75,.00,.00,910162.00
2023-03-31,Sasebo Navy,.00,.00,142863.35,.00,.00,971138.80
2023-03-31,Yokosuka Navy,.00,.00,611409.20,.00,.00,2677519.90
2023-03-31,Singapore Navy,.00,.00,7036.00,.00,.00,25694.00
2023-03-31,Total Gaming Revenue,1757983.55,1841802.55,2348897.00,8415403.50,11038942.75,12184109.00
2022-01-31,Kaiserslautern,151502.90,.00,.00,1039280.00,.00,.00
2022-01-31,Grafenwoehr,107458.60,.00,.00,410878.15,.00,.00
2022-01-31,Wiesbaden,223142.90,.00,.00,934537.00,.00,.00
2022-01-31,Vicenza,92415.15,.00,.00,300943.45,.00,.00
2022-01-31,Livorno,31869.85,.00,.00,59364.85,.00,.00
2022-01-31,Stuttgart,205559.15,.00,.00,855246.30,.00,.00
2022-01-31,Baumholder,13562.50,.00,.00,118363.60,.00,.00
2022-01-31,Ansbach,39956.35,.00,.00,126986.60,.00,.00
2022-01-31,Schinnen,5226.50,.00,.00,22841.60,.00,.00
2022-01-31,AFRC Edelweiss Lodge,-3106.55,.00,.00,64737.20,.00,.00
2022-01-31,Hohenfels,44633.45,.00,.00,252470.45,.00,.00
2022-01-31,Naples Navy,-1415.80,.00,.00,230707.40,.00,.00
2022-01-31,Sigonella Navy,57173.00,.00,.00,156629.20,.00,.00
2022-01-31,Rota Navy,55342.15,.00,.00,271908.60,.00,.00
2022-01-31,Souda Bay Navy,.00,.00,.00,.00,.00,.00
2022-01-31,AFRC Dragon Hill Lodge,.00,294417.90,.00,.00,1107734.40,.00
2022-01-31,Seoul,.00,6828.00,.00,.00,33110.00,.00
2022-01-31,Casey & Hovey,.00,188682.65,.00,.00,893865.05,.00
2022-01-31,Uijongbu,.00,.00,.00,.00,.00,.00
2022-01-31,Camp Humphreys,.00,604863.20,.00,.00,3354148.70,.00
2022-01-31,Daegu,.00,197087.45,.00,.00,961276.95,.00
2022-01-31,Chinhae Navy,.00,34467.70,.00,.00,170516.15,.00
2022-01-31,Camp Mujuk Marines,.00,.00,.00,.00,.00,.00
2022-01-31,Camp Zama,.00,.00,103905.45,.00,.00,341058.45
2022-01-31,Fuji Marines,.00,.00,1028.00,.00,.00,10906.00
2022-01-31,Sanno Navy,.00,.00,62810.25,.00,.00,349981.20
2022-01-31,Atsugi Navy,.00,.00,81399.15,.00,.00,346405.05
2022-01-31,Okinawa,.00,.00,8389.00,.00,.00,24563.15
2022-01-31,Okinawa Marines,.00,.00,700467.00,.00,.00,3489363.00
2022-01-31,Okinawa Navy,.00,.00,8661.30,.00,.00,131637.85
2022-01-31,Iwakuni Marines,.00,.00,106348.75,.00,.00,598866.65
2022-01-31,Sasebo Navy,.00,.00,107788.35,.00,.00,802691.80
2022-01-31,Yokosuka Navy,.00,.00,389801.00,.00,.00,1742232.45
2022-01-31,Singapore Navy,.00,.00,.00,.00,.00,.00
2022-01-31,Total Gaming Revenue,1023320.15,1326346.90,1570598.25,4844894.40,6520651.25,7837705.60
2023-01-31,Kaiserslautern,196939.85,.00,.00,1114232.45,.00,.00
2023-01-31,Grafenwoehr,150971.25,.00,.00,559785.05,.00,.00
2023-01-31,Wiesbaden,209765.65,.00,.00,875626.40,.00,.00
2023-01-31,Vicenza,143860.95,.00,.00,295670.70,.00,.00
2023-01-31,Livorno,8955.15,.00,.00,53806.55,.00,.00
2023-01-31,Stuttgart,259735.90,.00,.00,803090.90,.00,.00
2023-01-31,Baumholder,34862.40,.00,.00,166040.00,.00,.00
2023-01-31,Ansbach,79425.75,.00,.00,259563.30,.00,.00
2023-01-31,Brunssum,13825.90,.00,.00,53971.75,.00,.00
2023-01-31,AFRC Edelweiss Lodge,35876.90,.00,.00,58576.55,.00,.00
2023-01-31,Hohenfels,37626.80,.00,.00,122219.95,.00,.00
2023-01-31,Naples Navy,99610.30,.00,.00,410803.40,.00,.00
2023-01-31,Sigonella Navy,101111.25,.00,.00,212179.50,.00,.00
2023-01-31,Rota Navy,78109.10,.00,.00,285370.35,.00,.00
2023-01-31,Souda Bay Navy,10834.35,.00,.00,35570.30,.00,.00
2023-01-31,AFRC Dragon Hill Lodge,.00,562130.45,.00,.00,1728304.35,.00
2023-01-31,Seoul,.00,15116.05,.00,.00,63879.65,.00
2023-01-31,Casey & Hovey,.00,153938.10,.00,.00,711524.40,.00
2023-01-31,Uijongbu,.00,.00,.00,.00,.00,.00
2023-01-31,Camp Humphreys,.00,932127.30,.00,.00,4070212.45,.00
2023-01-31,Daegu,.00,229588.55,.00,.00,848340.85,.00
2023-01-31,Chinhae Navy,.00,55895.90,.00,.00,121592.85,.00
2023-01-31,Camp Mujuk Marines,.00,.00,.00,.00,.00,.00
2023-01-31,Camp Zama,.00,.00,85079.95,.00,.00,441246.30
2023-01-31,Fuji Marines,.00,.00,2687.00,.00,.00,9904.50
2023-01-31,Sanno Navy,.00,.00,138279.70,.00,.00,378886.50
2023-01-31,Atsugi Navy,.00,.00,49710.75,.00,.00,230082.20
2023-01-31,Okinawa,.00,.00,10555.60,.00,.00,33391.60
2023-01-31,Okinawa Marines,.00,.00,1093316.40,.00,.00,3717018.05
2023-01-31,Okinawa Navy,.00,.00,21016.20,.00,.00,117154.15
2023-01-31,Iwakuni Marines,.00,.00,82548.30,.00,.00,504064.30
2023-01-31,Sasebo Navy,.00,.00,172159.95,.00,.00,673199.60
2023-01-31,Yokosuka Navy,.00,.00,535894.55,.00,.00,1584256.55
2023-01-31,Singapore Navy,.00,.00,5208.00,.00,.00,13384.00
2023-01-31,Total Gaming Revenue,1461511.50,1948796.35,2196456.40,5306507.15,7543854.55,7702587.75
2024-01-31,Kaiserslautern,144620.91,.00,.00,999264.65,.00,.00
2024-01-31,Grafenwoehr,236980.65,.00,.00,865192.00,.00,.00
2024-01-31,Wiesbaden,410804.70,.00,.00,1250964.00,.00,.00
2024-01-31,Vicenza,114917.70,.00,.00,513258.90,.00,.00
2024-01-31,Livorno,54.00,.00,.00,27199.50,.00,.00
2024-01-31,Stuttgart,253118.60,.00,.00,986928.45,.00,.00
2024-01-31,Baumholder,99036.85,.00,.00,236987.00,.00,.00
2024-01-31,Ansbach,115782.30,.00,.00,247915.28,.00,.00
2024-01-31,Brunssum,11782.15,.00,.00,25181.20,.00,.00
2024-01-31,AFRC Edelweiss Lodge,17542.39,.00,.00,88950.28,.00,.00
2024-01-31,Hohenfels,37727.85,.00,.00,138859.10,.00,.00
2024-01-31,Naples Navy,164611.15,.00,.00,421276.40,.00,.00
2024-01-31,Sigonella Navy,75884.30,.00,.00,276640.55,.00,.00
2024-01-31,Rota Navy,125762.10,.00,.00,356690.55,.00,.00
2024-01-31,Souda Bay Navy,25.00,.00,.00,46255.70,.00,.00
2024-01-31,AFRC Dragon Hill Lodge,.00,586916.60,.00,.00,1400719.90,.00
2024-01-31,Seoul,.00,2491.20,.00,.00,32381.40,.00
2024-01-31,Casey & Hovey,.00,269691.25,.00,.00,884392.95,.00
2024-01-31,Camp Humphreys,.00,1095634.75,.00,.00,4158060.80,.00
2024-01-31,Daegu,.00,227015.35,.00,.00,545974.65,.00
2024-01-31,Chinhae Navy,.00,27246.75,.00,.00,114239.30,.00
2024-01-31,Camp Zama,.00,.00,137933.60,.00,.00,493308.20
2024-01-31,Fuji Marines,.00,.00,2557.75,.00,.00,19274.55
2024-01-31,Sanno Navy,.00,.00,104494.65,.00,.00,439071.00
2024-01-31,Atsugi Navy,.00,.00,66074.30,.00,.00,337707.40
2024-01-31,Okinawa,.00,.00,3336.70,.00,.00,29315.70
2024-01-31,Okinawa Marines,.00,.00,1225730.20,.00,.00,4220444.15
2024-01-31,Okinawa Navy,.00,.00,38102.55,.00,.00,211465.65
2024-01-31,Iwakuni Marines,.00,.00,165768.25,.00,.00,701683.55
2024-01-31,Sasebo Navy,.00,.00,221620.50,.00,.00,873187.65
2024-01-31,Yokosuka Navy,.00,.00,440682.60,.00,.00,1713683.00
2024-01-31,Singapore Navy,.00,.00,8473.80,.00,.00,12422.00
2024-01-31,Total Gaming Revenue,1808650.65,2208995.90,2414774.90,6481563.56,7135769.00,9051562.85
2020-02-29,Kaiserslautern,255436.60,.00,.00,1361314.00,.00,.00
2020-02-29,Grafenwoehr,196007.10,.00,.00,937391.40,.00,.00
2020-02-29,Wiesbaden,255238.29,.00,.00,1241326.15,.00,.00
2020-02-29,Vicenza,85828.20,.00,.00,346962.00,.00,.00
2020-02-29,Livorno,3001.90,.00,.00,6352.35,.00,.00
2020-02-29,Stuttgart,187316.46,.00,.00,786164.70,.00,.00
2020-02-29,Baumholder,44816.21,.00,.00,255361.30,.00,.00
2020-02-29,Ansbach,71829.74,.00,.00,259125.30,.00,.00
2020-02-29,Schinnen,6443.00,.00,.00,40963.40,.00,.00
2020-02-29,AFRC Edelweiss Lodge,7419.52,.00,.00,156052.92,.00,.00
2020-02-29,Hohenfels,37770.50,.00,.00,227431.40,.00,.00
2020-02-29,Naples Navy,105161.05,.00,.00,407308.20,.00,.00
2020-02-29,Sigonella Navy,63073.80,.00,.00,297177.90,.00,.00
2020-02-29,Rota Navy,68100.75,.00,.00,375029.90,.00,.00
2020-02-29,Souda Bay Navy,8713.30,.00,.00,39991.70,.00,.00
2020-02-29,AFRC Dragon Hill Lodge,.00,354187.91,.00,.00,2356161.30,.00
2020-02-29,Seoul,.00,51211.70,.00,.00,360432.10,.00
2020-02-29,Casey & Hovey,.00,196661.75,.00,.00,1019216.00,.00
2020-02-29,Uijongbu,.00,.00,.00,.00,.00,.00
2020-02-29,Camp Humphreys,.00,735295.59,.00,.00,4379930.42,.00
2020-02-29,Daegu,.00,258317.45,.00,.00,1444530.50,.00
2020-02-29,Chinhae Navy,.00,55679.00,.00,.00,151265.45,.00
2020-02-29,Camp Mujuk Marines,.00,.00,.00,.00,.00,.00
2020-02-29,Camp Zama,.00,.00,147137.10,.00,.00,704649.60
2020-02-29,Fuji Marines,.00,.00,825.00,.00,.00,5006.00
2020-02-29,Sanno Navy,.00,.00,80006.45,.00,.00,496996.40
2020-02-29,Atsugi Navy,.00,.00,100230.75,.00,.00,569969.40
2020-02-29,Okinawa,.00,.00,8275.00,.00,.00,33094.00
2020-02-29,Okinawa Marines,.00,.00,1019150.53,.00,.00,5373686.27
2020-02-29,Okinawa Navy,.00,.00,39014.90,.00,.00,155960.75
2020-02-29,Iwakuni Marines,.00,.00,207498.62,.00,.00,1065706.85
2020-02-29,Sasebo Navy,.00,.00,233426.20,.00,.00,1075027.65
2020-02-29,Yokosuka Navy,.00,.00,563904.33,.00,.00,2291301.50
2020-02-29,Singapore Navy,.00,.00,6806.00,.00,.00,33112.95
2020-02-29,Total Gaming Revenue,1396156.42,1651353.40,2406274.88,6737952.62,9711535.77,11804511.37
2021-02-28,Kaiserslautern,.00,.00,.00,685257.85,.00,.00
2021-02-28,Grafenwoehr,154884.10,.00,.00,592229.25,.00,.00
2021-02-28,Wiesbaden,55349.15,.00,.00,296533.00,.00,.00
2021-02-28,Vicenza,46663.95,.00,.00,272641.45,.00,.00
2021-02-28,Livorno,8140.50,.00,.00,19364.10,.00,.00
2021-02-28,Stuttgart,-14327.80,.00,.00,118971.60,.00,.00
2021-02-28,Baumholder,.00,.00,.00,12703.25,.00,.00
2021-02-28,Ansbach,.00,.00,.00,83574.00,.00,.00
2021-02-28,Schinnen,6629.60,.00,.00,38730.00,.00,.00
2021-02-28,AFRC Edelweiss Lodge,.00,.00,.00,9043.57,.00,.00
2021-02-28,Hohenfels,46917.55,.00,.00,234799.50,.00,.00
2021-02-28,Naples Navy,.00,.00,.00,85315.15,.00,.00
2021-02-28,Sigonella Navy,41910.75,.00,.00,187765.50,.00,.00
2021-02-28,Rota Navy,66102.15,.00,.00,297903.65,.00,.00
2021-02-28,Souda Bay Navy,.00,.00,.00,.00,.00,.00
2021-02-28,AFRC Dragon Hill Lodge,.00,438786.40,.00,.00,1770630.35,.00
2021-02-28,Seoul,.00,25338.15,.00,.00,149357.45,.00
2021-02-28,Casey & Hovey,.00,287863.05,.00,.00,985200.65,.00
2021-02-28,Uijongbu,.00,.00,.00,.00,.00,.00
2021-02-28,Camp Humphreys,.00,961184.35,.00,.00,4572451.75,.00
2021-02-28,Daegu,.00,277888.85,.00,.00,1246722.45,.00
2021-02-28,Chinhae Navy,.00,20663.05,.00,.00,164181.35,.00
2021-02-28,Camp Mujuk Marines,.00,.00,.00,.00,.00,.00
2021-02-28,Camp Zama,.00,.00,132735.50,.00,.00,656715.90
2021-02-28,Fuji Marines,.00,.00,530.00,.00,.00,4191.50
2021-02-28,Sanno Navy,.00,.00,.00,.00,.00,.00
2021-02-28,Atsugi Navy,.00,.00,109303.30,.00,.00,666923.00
2021-02-28,Okinawa,.00,.00,5096.80,.00,.00,23110.45
2021-02-28,Okinawa Marines,.00,.00,694853.55,.00,.00,4307667.80
2021-02-28,Okinawa Navy,.00,.00,9402.20,.00,.00,165684.70
2021-02-28,Iwakuni Marines,.00,.00,181630.75,.00,.00,716313.90
2021-02-28,Sasebo Navy,.00,.00,147258.90,.00,.00,905313.40
2021-02-28,Yokosuka Navy,.00,.00,213856.85,.00,.00,1306277.05
2021-02-28,Singapore Navy,.00,.00,.00,.00,.00,.00
2021-02-28,Total Gaming Revenue,412269.95,2011723.85,1494667.85,2934831.87,8888544.00,8752197.70
2022-02-28,Kaiserslautern,218080.40,.00,.00,1257360.40,.00,.00
2022-02-28,Grafenwoehr,114267.30,.00,.00,525145.45,.00,.00
2022-02-28,Wiesbaden,199798.70,.00,.00,1134335.70,.00,.00
2022-02-28,Vicenza,49060.30,.00,.00,350003.75,.00,.00
2022-02-28,Livorno,13141.00,.00,.00,72505.85,.00,.00
2022-02-28,Stuttgart,197752.40,.00,.00,1052998.70,.00,.00
2022-02-28,Baumholder,28111.40,.00,.00,146475.00,.00,.00
2022-02-28,Ansbach,44246.90,.00,.00,171233.50,.00,.00
2022-02-28,Schinnen,7276.00,.00,.00,30117.60,.00,.00
2022-02-28,AFRC Edelweiss Lodge,15879.55,.00,.00,80616.75,.00,.00
2022-02-28,Hohenfels,47228.90,.00,.00,299699.35,.00,.00
2022-02-28,Naples Navy,167417.76,.00,.00,398125.16,.00,.00
2022-02-28,Sigonella Navy,89029.05,.00,.00,245658.25,.00,.00
2022-02-28,Rota Navy,86973.25,.00,.00,358881.85,.00,.00
2022-02-28,Souda Bay Navy,.00,.00,.00,.00,.00,.00
2022-02-28,AFRC Dragon Hill Lodge,.00,274345.50,.00,.00,1382079.90,.00
2022-02-28,Seoul,.00,4008.00,.00,.00,37118.00,.00
2022-02-28,Casey & Hovey,.00,235924.70,.00,.00,1129789.75,.00
2022-02-28,Uijongbu,.00,.00,.00,.00,.00,.00
2022-02-28,Camp Humphreys,.00,891007.75,.00,.00,4245156.45,.00
2022-02-28,Daegu,.00,207152.50,.00,.00,1168429.45,.00
2022-02-28,Chinhae Navy,.00,42990.00,.00,.00,213506.15,.00
2022-02-28,Camp Mujuk Marines,.00,.00,.00,.00,.00,.00
2022-02-28,Camp Zama,.00,.00,96594.05,.00,.00,437652.50
2022-02-28,Fuji Marines,.00,.00,1408.00,.00,.00,12314.00
2022-02-28,Sanno Navy,.00,.00,27221.10,.00,.00,377202.30
2022-02-28,Atsugi Navy,.00,.00,59068.50,.00,.00,405473.55
2022-02-28,Okinawa,.00,.00,4152.50,.00,.00,28715.65
2022-02-28,Okinawa Marines,.00,.00,815254.80,.00,.00,4304617.80
2022-02-28,Okinawa Navy,.00,.00,31813.50,.00,.00,163451.35
2022-02-28,Iwakuni Marines,.00,.00,118308.25,.00,.00,717174.90
2022-02-28,Sasebo Navy,.00,.00,182590.00,.00,.00,985281.80
2022-02-28,Yokosuka Navy,.00,.00,406872.95,.00,.00,2149105.40
2022-02-28,Singapore Navy,.00,.00,.00,.00,.00,.00
2022-02-28,Total Gaming Revenue,1278262.91,1655428.45,1743283.65,6123157.31,8176079.70,9580989.25
2023-02-28,Kaiserslautern,219581.90,.00,.00,1333814.35,.00,.00
