Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                      Slots              ACM              ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,46 VILSECK,,103.0,7.0,7.0,4.0,121.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,September 2021
Europe                                                                      Slots              ACM              ITC           FRS           Total,Europe Total,,744.0,48.0,53.0,32.0,877.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,19 SASEBO,,71.0,3.0,6.0,3.0,83.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,26 OKINAWA,,341.0,18.0,24.0,13.0,396.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,September 2021
Japan                                                                       Slots              ACM              ITC           FRS           Total,Japan Total,,753.0,39.0,58.0,33.0,883.0,September 2021
Korea                                                                       Slots              ACM              ITC           FRS           Total,20 SEOUL,,98.0,4.0,5.0,2.0,109.0,September 2021
Korea                                                                       Slots              ACM              ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,September 2021
Korea                                                                       Slots              ACM              ITC           FRS           Total,23 UIJEONGBU,,73.0,5.0,3.0,3.0,84.0,September 2021
Korea                                                                       Slots              ACM              ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,September 2021
Korea                                                                       Slots              ACM              ITC           FRS           Total,Korea Total,,432.0,21.0,27.0,14.0,494.0,September 2021
Korea                                                                       Slots              ACM              ITC           FRS           Total,ARMP Total,,1929.0,108.0,138.0,79.0,2254.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,2 KAISERSLAUTERN,,163.0,12.0,13.0,7.0,195.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,4 VICENZA,,75.0,5.0,5.0,3.0,88.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,46 VILSECK,,103.0,7.0,7.0,4.0,121.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,September 2021
Europe                                                                     Slots              ACM              ITC           FRS           Total,Europe Total,,744.0,48.0,53.0,32.0,877.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,19 SASEBO,,71.0,3.0,6.0,3.0,83.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,26 OKINAWA,,341.0,18.0,24.0,13.0,396.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,September 2021
Japan                                                                      Slots              ACM              ITC           FRS           Total,Japan Total,,753.0,39.0,58.0,33.0,883.0,September 2021
Korea                                                                      Slots              ACM              ITC           FRS           Total,20 SEOUL,,98.0,4.0,5.0,2.0,109.0,September 2021
Korea                                                                      Slots              ACM              ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,September 2021
Korea                                                                      Slots              ACM              ITC           FRS           Total,23 UIJEONGBU,,73.0,5.0,3.0,3.0,84.0,September 2021
Korea                                                                      Slots              ACM              ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,September 2021
Korea                                                                      Slots              ACM              ITC           FRS           Total,Korea Total,,432.0,21.0,27.0,14.0,494.0,September 2021
Korea                                                                      Slots              ACM              ITC           FRS           Total,ARMP Total,,1929.0,108.0,138.0,79.0,2254.0,September 2021
